Node id 1,Node id 2,Sign
0,1,1
0,2,1
0,3,1
0,7,1
0,8,1
0,9,-1
0,10,-1
0,26,1
1,3,-1
1,5,1
1,6,1
1,8,1
1,10,1
1,12,-1
1,24,1
1,33,1
1,34,1
2,6,-1
2,7,-1
2,11,-1
2,13,1
2,16,1
2,21,1
2,26,-1
2,27,1
2,30,1
2,31,-1
3,4,1
3,6,1
3,7,1
3,8,1
3,12,1
3,15,-1
4,5,1
4,9,-1
4,12,1
4,16,1
4,24,-1
4,33,1
4,35,1
5,6,1
5,7,-1
5,8,-1
5,9,1
5,11,1
5,26,1
5,29,1
5,32,1
6,14,1
6,24,-1
6,34,-1
7,8,-1
7,13,1
7,17,1
7,18,1
7,23,1
7,24,1
7,25,1
7,32,1
7,34,-1
7,35,1
8,11,1
8,14,1
8,23,1
8,29,1
8,32,1
9,11,1
9,20,-1
9,24,1
9,32,-1
9,34,1
9,35,1
10,11,-1
11,12,1
11,14,1
11,24,-1
11,30,1
11,34,1
11,35,-1
12,13,1
12,16,-1
12,19,1
12,21,-1
12,22,1
12,23,1
12,25,1
12,26,-1
12,29,1
13,14,1
13,15,1
13,21,1
13,33,-1
14,21,1
14,22,1
14,28,1
14,30,-1
14,32,1
14,34,-1
15,19,-1
15,23,-1
15,32,1
15,34,1
16,17,-1
16,18,1
16,19,-1
16,20,-1
16,22,1
16,23,1
16,26,1
16,33,1
16,35,1
17,19,1
17,23,1
17,26,-1
17,27,-1
17,29,-1
17,31,-1
18,20,1
18,23,1
18,25,1
18,30,1
18,31,1
18,35,1
19,20,1
19,21,-1
19,27,-1
19,28,1
19,35,1
20,22,1
20,27,-1
20,31,1
21,23,1
21,26,1
22,23,1
22,25,-1
22,29,1
23,26,-1
23,28,1
23,31,1
24,27,1
24,29,-1
24,32,1
24,33,1
25,27,-1
25,31,1
25,33,1
26,29,-1
26,34,1
26,35,1
27,28,1
27,29,1
27,30,1
27,31,-1
27,33,-1
28,31,1
29,31,1
29,32,1
29,34,1
29,35,1
30,32,1
30,34,-1
30,35,1
31,33,1
31,34,1
32,33,-1
33,35,-1
